city,country,time_of_measurement,temperature,pressure,humidity,wind_speed,weather_naming,timestamp_request
Hamburg,Germany,1688626514,21.2,1016.0,58,43.8,Light rain,1688626517
Hamburg,Germany,1688626516,18.2,1006.2,51,25.8,Partly cloudy,1688626523
Hamburg,Germany,1688626518,15.1,1069.6,50,12.4,Light rain,1688626528
Hamburg,Germany,1688626520,13.3,1050.2,47,40.9,Light rain,1688626527
Hamburg,Germany,1688626522,26.4,1030.1,59,46.8,Light rain,1688626525
Hamburg,Germany,1688626524,22.6,1093.3,60,56.9,Light rain,1688626531
Hamburg,Germany,1688626526,26.6,1042.2,50,20.6,Light rain,1688626528
Hamburg,Germany,1688626528,23.9,1083.9,48,73.6,Partly cloudy,1688626535
Hamburg,Germany,1688626530,17.2,1032.7,41,34.4,Cloudy,1688626531
Hamburg,Germany,1688626532,28.6,1025.6,44,63.5,Cloudy,1688626539
Hamburg,Germany,1688626534,28.7,1087.1,50,72.4,Rainy,1688626536
Hamburg,Germany,1688626536,21.1,1081.2,49,29.4,Cloudy,1688626537
Hamburg,Germany,1688626538,18.6,1063.9,42,10.0,Sunny,1688626547
Hamburg,Germany,1688626540,28.0,1035.2,46,77.9,Cloudy,1688626550
Hamburg,Germany,1688626542,19.6,1005.0,43,18.2,Light rain,1688626545
Hamburg,Germany,1688626544,13.3,1099.9,48,47.1,Rainy,1688626553
Hamburg,Germany,1688626546,20.3,1021.8,45,12.0,Light rain,1688626554
Hamburg,Germany,1688626548,24.9,1090.4,51,20.9,Sunny,1688626558
Hamburg,Germany,1688626550,24.2,1060.8,51,54.7,Light rain,1688626551
Hamburg,Germany,1688626552,13.9,1065.2,43,64.6,Light rain,1688626555
Hamburg,Germany,1688626554,12.5,1050.2,59,15.0,Partly cloudy,1688626560
Hamburg,Germany,1688626556,17.6,1067.3,45,38.2,Partly cloudy,1688626562
Hamburg,Germany,1688626558,21.5,1047.4,48,41.2,Rainy,1688626567
Hamburg,Germany,1688626560,15.3,1023.7,50,92.4,Light rain,1688626562
Hamburg,Germany,1688626562,13.3,1000.3,59,78.4,Partly cloudy,1688626565
Hamburg,Germany,1688626564,17.1,1015.1,50,32.1,Sunny,1688626567
Hamburg,Germany,1688626566,12.7,1016.8,54,91.9,Partly cloudy,1688626570
Hamburg,Germany,1688626568,10.6,1021.7,58,70.6,Sunny,1688626576
Hamburg,Germany,1688626570,28.6,1027.3,58,22.7,Light rain,1688626574
Hamburg,Germany,1688626572,16.3,1046.4,52,77.9,Rainy,1688626575
Hamburg,Germany,1688626574,30.0,1068.0,52,69.5,Sunny,1688626584
Hamburg,Germany,1688626576,27.8,1011.2,41,82.0,Sunny,1688626580
Hamburg,Germany,1688626578,22.8,1004.4,49,38.4,Partly cloudy,1688626584
Hamburg,Germany,1688626580,19.0,1045.9,49,82.6,Rainy,1688626583
Hamburg,Germany,1688626582,12.9,1026.0,40,46.5,Sunny,1688626591
Hamburg,Germany,1688626584,24.3,1012.9,56,78.2,Light rain,1688626587
Hamburg,Germany,1688626586,13.3,1042.1,55,71.8,Cloudy,1688626592
Hamburg,Germany,1688626588,22.1,1076.6,41,57.5,Sunny,1688626594
Hamburg,Germany,1688626590,13.9,1030.8,55,95.7,Cloudy,1688626596
Hamburg,Germany,1688626592,27.4,1088.0,53,67.2,Partly cloudy,1688626593
Hamburg,Germany,1688626594,27.5,1069.2,58,64.6,Sunny,1688626600
Hamburg,Germany,1688626596,15.2,1045.5,58,53.7,Light rain,1688626597
Hamburg,Germany,1688626598,21.2,1027.2,52,45.3,Light rain,1688626607
Hamburg,Germany,1688626600,25.1,1010.5,50,13.1,Cloudy,1688626603
Hamburg,Germany,1688626602,12.0,1056.1,51,78.1,Light rain,1688626603
Hamburg,Germany,1688626604,21.5,1025.4,41,69.6,Partly cloudy,1688626611
Hamburg,Germany,1688626606,20.7,1014.8,42,73.1,Sunny,1688626616
Hamburg,Germany,1688626608,22.7,1058.0,42,37.4,Rainy,1688626612
Hamburg,Germany,1688626610,10.1,1079.9,57,40.0,Light rain,1688626614
Hamburg,Germany,1688626612,23.2,1077.0,51,35.5,Cloudy,1688626617
Hamburg,Germany,1688626614,24.6,1095.9,57,16.5,Sunny,1688626615
Hamburg,Germany,1688626616,23.0,1003.7,40,93.6,Cloudy,1688626620
Hamburg,Germany,1688626618,21.3,1043.8,60,11.5,Light rain,1688626620
Hamburg,Germany,1688626620,27.2,1075.1,48,61.0,Light rain,1688626623
Hamburg,Germany,1688626622,29.5,1073.5,55,78.2,Sunny,1688626632
Hamburg,Germany,1688626624,11.0,1048.9,56,33.4,Cloudy,1688626626
Hamburg,Germany,1688626626,17.3,1041.1,50,35.8,Sunny,1688626633
Hamburg,Germany,1688626628,26.2,1041.7,48,20.0,Rainy,1688626634
Hamburg,Germany,1688626630,17.4,1079.1,48,28.8,Cloudy,1688626639
Hamburg,Germany,1688626632,23.9,1033.1,42,54.6,Partly cloudy,1688626635
Hamburg,Germany,1688626634,26.7,1028.7,40,59.6,Partly cloudy,1688626639
Hamburg,Germany,1688626636,20.4,1018.2,45,20.0,Partly cloudy,1688626638
Hamburg,Germany,1688626638,23.7,1093.6,52,60.0,Light rain,1688626641
Hamburg,Germany,1688626640,26.4,1035.7,46,67.0,Light rain,1688626642
Hamburg,Germany,1688626642,20.1,1002.9,55,25.8,Cloudy,1688626645
Hamburg,Germany,1688626644,22.1,1059.8,47,23.7,Sunny,1688626650
Hamburg,Germany,1688626646,21.9,1089.6,42,61.9,Rainy,1688626650
Hamburg,Germany,1688626648,23.7,1063.1,46,25.6,Partly cloudy,1688626657
Hamburg,Germany,1688626650,27.3,1076.5,48,88.8,Cloudy,1688626659
Hamburg,Germany,1688626652,27.0,1049.9,51,14.2,Partly cloudy,1688626662
Hamburg,Germany,1688626654,29.8,1033.2,44,17.3,Light rain,1688626660
Hamburg,Germany,1688626656,24.1,1036.8,55,51.4,Partly cloudy,1688626657
Hamburg,Germany,1688626658,17.4,1088.2,42,99.1,Partly cloudy,1688626668
Hamburg,Germany,1688626660,20.9,1009.2,49,75.0,Rainy,1688626661
Hamburg,Germany,1688626662,28.3,1001.9,41,93.1,Partly cloudy,1688626672
Hamburg,Germany,1688626664,20.3,1063.1,41,58.1,Sunny,1688626670
Hamburg,Germany,1688626666,24.5,1072.9,53,20.4,Rainy,1688626673
Hamburg,Germany,1688626668,15.6,1096.5,48,15.2,Light rain,1688626678
Hamburg,Germany,1688626670,14.8,1098.9,41,66.6,Cloudy,1688626680
Hamburg,Germany,1688626672,28.2,1096.5,60,21.1,Light rain,1688626681
Hamburg,Germany,1688626674,20.7,1071.2,45,60.6,Sunny,1688626681
Hamburg,Germany,1688626676,19.6,1009.6,49,55.7,Rainy,1688626681
Hamburg,Germany,1688626678,28.6,1071.1,60,59.9,Light rain,1688626679
Hamburg,Germany,1688626680,23.4,1098.6,59,21.5,Rainy,1688626681
Hamburg,Germany,1688626682,18.4,1033.2,40,94.5,Rainy,1688626685
Hamburg,Germany,1688626684,21.8,1002.1,41,72.6,Light rain,1688626694
Hamburg,Germany,1688626686,24.6,1090.0,40,52.1,Partly cloudy,1688626696
Hamburg,Germany,1688626688,17.6,1061.2,52,88.5,Rainy,1688626692
Hamburg,Germany,1688626690,29.0,1005.0,52,51.4,Cloudy,1688626700
Hamburg,Germany,1688626692,24.6,1074.0,59,64.2,Cloudy,1688626697
Hamburg,Germany,1688626694,11.2,1034.8,60,67.8,Rainy,1688626703
Hamburg,Germany,1688626696,10.2,1021.9,40,94.8,Cloudy,1688626705
Hamburg,Germany,1688626698,21.6,1010.2,54,75.5,Light rain,1688626702
Hamburg,Germany,1688626700,26.9,1028.8,57,67.4,Light rain,1688626704
Hamburg,Germany,1688626702,21.3,1008.8,51,25.2,Light rain,1688626712
Hamburg,Germany,1688626704,22.1,1088.7,50,80.4,Cloudy,1688626713
Hamburg,Germany,1688626706,27.4,1068.3,44,98.5,Partly cloudy,1688626710
Hamburg,Germany,1688626708,19.1,1095.3,59,34.8,Rainy,1688626717
Hamburg,Germany,1688626710,13.3,1053.7,41,60.2,Partly cloudy,1688626716
Hamburg,Germany,1688626712,21.4,1051.2,49,52.3,Sunny,1688626719
Hamburg,Germany,1688626714,22.4,1063.0,51,21.2,Rainy,1688626722
Hamburg,Germany,1688626716,27.4,1039.2,49,39.9,Partly cloudy,1688626719
Hamburg,Germany,1688626718,16.7,1026.1,48,69.1,Cloudy,1688626724
Hamburg,Germany,1688626720,15.9,1040.3,42,23.6,Rainy,1688626724
Hamburg,Germany,1688626722,15.1,1058.2,60,32.2,Light rain,1688626726
Hamburg,Germany,1688626724,28.0,1092.9,46,62.8,Sunny,1688626734
Hamburg,Germany,1688626726,19.0,1055.1,45,46.1,Light rain,1688626730
Hamburg,Germany,1688626728,12.5,1009.3,42,16.4,Partly cloudy,1688626738
Hamburg,Germany,1688626730,15.3,1071.8,40,51.3,Partly cloudy,1688626735
Hamburg,Germany,1688626732,16.5,1008.3,41,30.8,Light rain,1688626742
Hamburg,Germany,1688626734,11.3,1035.0,47,44.2,Rainy,1688626740
Hamburg,Germany,1688626736,25.7,1009.5,60,45.2,Rainy,1688626742
Hamburg,Germany,1688626738,26.1,1002.3,48,79.6,Partly cloudy,1688626747
Hamburg,Germany,1688626740,16.6,1069.7,41,67.3,Rainy,1688626745
